rank      number              name           telephone      ave            judge_1        judge_2        judge_3        judge_4        judge_5        judge_6        judge_7        
1         20181102931         高雅           18726353728    99             99                 99                 99                 99                 99                 99                 99                 
2         20181102938         王朝           18726353728    99             99                 90                 99                 99                 99                 99                 99                 
3         20181102930         白雪           18726353728    98             98                 98                 98                 98                 98                 98                 98                 
4         20181102936         余华           18726353728    97             97                 97                 97                 97                 97                 97                 97                 
5         20181102931         高让           18726353728    96             96                 96                 96                 96                 96                 96                 96                 
6         20181102897         胡天           18726353728    93             93                 93                 93                 93                 93                 93                 93                 
7         20181102589         胡歌           18726353728    92             92                 92                 92                 92                 92                 92                 92                 
8         20181102933         王伟           18726353728    89.6           87                 93                 97                 87                 94                 87                 87                 
9         20181130495         李六           18726353728    89             89                 89                 89                 89                 89                 89                 89                 
10        20181102356         何炅           18726353728    82             82                 82                 62                 82                 82                 82                 82                 
11        20181102934         张三           18726353728    79.6           79                 83                 79                 39                 79                 99                 78                 
12        20181102931         王五           18726353728    78             78                 78                 64                 78                 78                 78                 78                 
13        20181102932         张涛           18726353728    70             70                 70                 70                 70                 68                 70                 70                 
14        20181102931         张辉           18726353728    60             60                 60                 50                 60                 62                 60                 60                 
15        20181102930         张二           18726353728    55.2           50                 59                 67                 50                 50                 89                 50                 
